"","NAWM-DSP-1001660016814-C-A02.dcc_1","NAWM-DSP-1001660016814-C-A03.dcc_2","NAWM-DSP-1001660016814-C-A04.dcc_3","NAWM-DSP-1001660016814-C-A05.dcc_4","NAWM-DSP-1001660016814-C-A06.dcc_5","WM_line_Lesion_1-DSP-1001660016814-C-A07.dcc_6","WM_line_Lesion_1-DSP-1001660016814-C-A08.dcc_7","WM_line_Lesion_1-DSP-1001660016814-C-A09.dcc_8","WM_line_Lesion_1-DSP-1001660016814-C-A10.dcc_9","WM_line_Lesion_1-DSP-1001660016814-C-A11.dcc_10","WM_line_Lesion_1-DSP-1001660016814-C-A12.dcc_11","WM_line_Lesion_2-DSP-1001660016814-C-B10.dcc_21","WM_line_Lesion_2-DSP-1001660016814-C-B11.dcc_22","WM_line_Lesion_2-DSP-1001660016814-C-B12.dcc_23","WM_line_Lesion_2-DSP-1001660016814-C-C01.dcc_24","NAWM-DSP-1001660016814-C-C02.dcc_25","NAWM-DSP-1001660016814-C-C03.dcc_26","NAWM-DSP-1001660016814-C-C04.dcc_27","NAWM-DSP-1001660016814-C-C05.dcc_28","NAWM-DSP-1001660016814-C-C06.dcc_29","WM_line_Lesion_1-DSP-1001660016814-C-C07.dcc_30","WM_line_Lesion_1-DSP-1001660016814-C-C08.dcc_31","WM_line_Lesion_1-DSP-1001660016814-C-C09.dcc_32","WM_line_Lesion_1-DSP-1001660016814-C-C10.dcc_33","WM_line_Lesion_2-DSP-1001660016814-C-D07.dcc_42","WM_line_Lesion_2-DSP-1001660016814-C-D08.dcc_43","WM_line_Lesion_2-DSP-1001660016814-C-D09.dcc_44","WM_line_Lesion_2-DSP-1001660016814-C-D10.dcc_45","WM_line_Lesion_2-DSP-1001660016814-C-D11.dcc_46","WM_line_Lesion_2-DSP-1001660016814-C-D12.dcc_47","WM_line_Lesion_2-DSP-1001660016814-C-E01.dcc_48","NAWM-DSP-1001660016814-C-E02.dcc_49","NAWM-DSP-1001660016814-C-E03.dcc_50","NAWM-DSP-1001660016814-C-E04.dcc_51","NAWM-DSP-1001660016814-C-E05.dcc_52","NAWM-DSP-1001660016814-C-E06.dcc_53","WM_line_Lesion_1-DSP-1001660016814-C-E07.dcc_54","WM_line_Lesion_1-DSP-1001660016814-C-E08.dcc_55","WM_line_Lesion_1-DSP-1001660016814-C-E09.dcc_56","WM_line_Lesion_1-DSP-1001660016814-C-E10.dcc_57","WM_line_Lesion_2-DSP-1001660016814-C-F07.dcc_66","WM_line_Lesion_2-DSP-1001660016814-C-F08.dcc_67","WM_line_Lesion_2-DSP-1001660016814-C-F09.dcc_68","WM_line_Lesion_2-DSP-1001660016814-C-F10.dcc_69","NAWM-DSP-1001660016814-C-G02.dcc_70","NAWM-DSP-1001660016814-C-G03.dcc_71","NAWM-DSP-1001660016814-C-G04.dcc_72","NAWM-DSP-1001660016814-C-G05.dcc_73","NAWM-DSP-1001660016814-C-G06.dcc_74","WM_line_Lesion_1-DSP-1001660016814-C-G11.dcc_79","WM_line_Lesion_1-DSP-1001660016814-C-G12.dcc_80","WM_line_Lesion_1-DSP-1001660016814-C-H01.dcc_81","WM_line_Lesion_1-DSP-1001660016814-C-H02.dcc_82","WM_line_Lesion_2-DSP-1001660016814-C-H08.dcc_88","WM_line_Lesion_2-DSP-1001660016814-C-H09.dcc_89","WM_line_Lesion_2-DSP-1001660016814-C-H10.dcc_90","NAWM-DSP-1001660016814-C-H12.dcc_91"
"HSP90AA1",2.99573227355399,2.70805020110221,3.09104245335832,2.63905732961526,3.3322045101752,2.39789527279837,2.30258509299405,1.6094379124341,2.30258509299405,3.58351893845611,2.89037175789616,3.58351893845611,3.25809653802148,2.39789527279837,3.3322045101752,3.46573590279973,3.63758615972639,3.17805383034795,3.58351893845611,3.76120011569356,2.63905732961526,3.58351893845611,3.2188758248682,3.76120011569356,4.69134788222914,4.49980967033027,4.89783979995091,4.70048036579242,4.52178857704904,3.40119738166216,4.36944785246702,3.71357206670431,3.09104245335832,3.58351893845611,3.66356164612965,3.25809653802148,3.25809653802148,3.09104245335832,2.70805020110221,1.6094379124341,3.91202300542815,3.71357206670431,3.87120101090789,3.52636052461616,4.15888308335967,3.40119738166216,3.29583686600433,3.68887945411394,3.46573590279973,3.43398720448515,3.17805383034795,3.09104245335832,3.63758615972639,4.35670882668959,4.29045944114839,4.21950770517611,3.17805383034795
"PTGES3",1.79175946922805,1.79175946922805,1.79175946922805,2.484906649788,1.6094379124341,0.693147180559945,1.09861228866811,1.38629436111989,1.6094379124341,1.94591014905531,1.09861228866811,2.19722457733622,1.79175946922805,1.94591014905531,2.484906649788,1.38629436111989,2.07944154167984,1.38629436111989,2.484906649788,2.70805020110221,1.6094379124341,1.79175946922805,2.19722457733622,2.77258872223978,3.66356164612965,3.55534806148941,3.49650756146648,3.13549421592915,3.29583686600433,3.17805383034795,3.17805383034795,2.19722457733622,1.09861228866811,1.79175946922805,2.07944154167984,1.38629436111989,2.30258509299405,1.79175946922805,2.19722457733622,0.693147180559945,2.77258872223978,2.39789527279837,2.484906649788,2.63905732961526,2.94443897916644,2.19722457733622,2.39789527279837,2.56494935746154,2.56494935746154,2.39789527279837,1.94591014905531,2.484906649788,2.30258509299405,3.36729582998647,3.49650756146648,2.89037175789616,1.09861228866811
"CRYAB",4.33073334028633,3.63758615972639,3.8286413964891,3.2188758248682,3.93182563272433,1.79175946922805,2.07944154167984,1.6094379124341,2.77258872223978,3.55534806148941,1.94591014905531,2.63905732961526,3.2188758248682,2.19722457733622,2.89037175789616,4.27666611901606,4.0943445622221,3.73766961828337,4.29045944114839,4.4188406077966,2.94443897916644,3.66356164612965,3.13549421592915,3.93182563272433,4.00733318523247,4.06044301054642,4.21950770517611,3.87120101090789,3.66356164612965,2.56494935746154,3.55534806148941,4.91265488573605,3.93182563272433,3.49650756146648,4.21950770517611,3.85014760171006,3.2188758248682,3.36729582998647,2.484906649788,1.38629436111989,3.55534806148941,3.63758615972639,3.49650756146648,3.17805383034795,5.66988092298052,4.53259949315326,4.70048036579242,4.77068462446567,4.71849887129509,3.98898404656427,3.66356164612965,3.87120101090789,3.71357206670431,4.31748811353631,3.85014760171006,3.93182563272433,2.70805020110221
"FKBP4",2.07944154167984,1.79175946922805,0.693147180559945,1.38629436111989,2.70805020110221,1.94591014905531,1.6094379124341,1.09861228866811,1.38629436111989,2.07944154167984,1.94591014905531,2.70805020110221,2.77258872223978,1.6094379124341,2.89037175789616,1.6094379124341,2.77258872223978,1.79175946922805,2.56494935746154,3.17805383034795,1.94591014905531,3.09104245335832,2.30258509299405,2.63905732961526,3.97029191355212,4.02535169073515,4.36944785246702,3.8286413964891,4.02535169073515,3.17805383034795,3.71357206670431,3.49650756146648,2.39789527279837,2.484906649788,2.07944154167984,2.30258509299405,2.30258509299405,2.30258509299405,2.484906649788,1.6094379124341,3.49650756146648,2.94443897916644,2.83321334405622,3.13549421592915,2.89037175789616,2.39789527279837,2.39789527279837,2.30258509299405,2.39789527279837,2.83321334405622,2.07944154167984,2.56494935746154,2.77258872223978,3.80666248977032,3.49650756146648,4.17438726989564,2.30258509299405
"HSPA1B",2.70805020110221,2.19722457733622,1.94591014905531,2.77258872223978,2.77258872223978,2.30258509299405,1.79175946922805,2.19722457733622,1.09861228866811,3.09104245335832,2.30258509299405,3.68887945411394,3.36729582998647,2.19722457733622,2.83321334405622,3.43398720448515,3.43398720448515,2.94443897916644,3.43398720448515,4.11087386417331,2.83321334405622,3.13549421592915,2.89037175789616,3.40119738166216,4.75359019110636,4.43081679884331,5.07517381523383,4.66343909411207,4.55387689160054,3.71357206670431,4.11087386417331,3.95124371858143,2.77258872223978,3.29583686600433,3.25809653802148,3.49650756146648,2.99573227355399,3.17805383034795,2.70805020110221,1.94591014905531,4.27666611901606,3.46573590279973,3.55534806148941,3.52636052461616,3.91202300542815,3.36729582998647,3.2188758248682,3.61091791264422,3.49650756146648,3.25809653802148,2.70805020110221,3.09104245335832,3.40119738166216,4.43081679884331,4.4188406077966,4.49980967033027,2.99573227355399
"DNAJB1",2.56494935746154,2.07944154167984,1.94591014905531,2.56494935746154,2.89037175789616,2.39789527279837,1.79175946922805,1.6094379124341,1.79175946922805,3.25809653802148,2.19722457733622,3.55534806148941,3.04452243772342,2.39789527279837,3.3322045101752,2.56494935746154,3.25809653802148,2.19722457733622,3.04452243772342,3.63758615972639,2.70805020110221,3.2188758248682,2.77258872223978,3.25809653802148,4.45434729625351,4.36944785246702,4.56434819146784,4.60517018598809,4.29045944114839,3.3322045101752,3.85014760171006,3.04452243772342,2.07944154167984,2.56494935746154,2.94443897916644,3.13549421592915,2.89037175789616,3.17805383034795,2.56494935746154,1.94591014905531,4.00733318523247,3.2188758248682,3.89182029811063,3.63758615972639,3.36729582998647,3.13549421592915,2.99573227355399,2.99573227355399,3.43398720448515,3.04452243772342,2.94443897916644,2.99573227355399,3.17805383034795,4.30406509320417,4.11087386417331,4.36944785246702,3.13549421592915
"HSPA8",2.56494935746154,1.38629436111989,1.38629436111989,1.94591014905531,1.6094379124341,0.693147180559945,1.09861228866811,1.09861228866811,1.79175946922805,2.07944154167984,1.09861228866811,3.04452243772342,2.56494935746154,1.79175946922805,2.63905732961526,2.30258509299405,2.30258509299405,2.30258509299405,1.79175946922805,2.63905732961526,2.07944154167984,2.63905732961526,2.56494935746154,2.56494935746154,3.89182029811063,3.46573590279973,3.93182563272433,3.76120011569356,3.63758615972639,2.99573227355399,3.17805383034795,2.56494935746154,2.19722457733622,1.6094379124341,1.94591014905531,2.30258509299405,2.19722457733622,2.63905732961526,2.07944154167984,0.693147180559945,3.09104245335832,2.77258872223978,3.2188758248682,3.2188758248682,2.83321334405622,2.07944154167984,2.83321334405622,2.63905732961526,2.56494935746154,2.19722457733622,2.484906649788,2.30258509299405,2.77258872223978,3.61091791264422,3.63758615972639,3.40119738166216,2.19722457733622
"HSPH1",2.39789527279837,1.6094379124341,2.19722457733622,2.30258509299405,2.63905732961526,1.09861228866811,1.38629436111989,1.09861228866811,1.38629436111989,2.77258872223978,1.79175946922805,3.40119738166216,2.94443897916644,1.6094379124341,2.484906649788,2.77258872223978,3.09104245335832,2.30258509299405,2.89037175789616,3.52636052461616,1.79175946922805,2.39789527279837,2.39789527279837,3.29583686600433,4.23410650459726,4.24849524204936,4.54329478227,3.89182029811063,3.95124371858143,2.99573227355399,3.68887945411394,3.13549421592915,2.30258509299405,2.39789527279837,2.63905732961526,2.39789527279837,2.63905732961526,2.89037175789616,2.30258509299405,0.693147180559945,3.46573590279973,3.13549421592915,3.25809653802148,3.25809653802148,3.09104245335832,2.89037175789616,2.484906649788,3.09104245335832,2.94443897916644,2.99573227355399,1.94591014905531,2.30258509299405,2.56494935746154,3.97029191355212,3.61091791264422,3.87120101090789,2.484906649788
"HSP90AB1",2.19722457733622,1.94591014905531,2.30258509299405,2.484906649788,2.70805020110221,2.07944154167984,2.07944154167984,1.38629436111989,1.6094379124341,3.17805383034795,2.39789527279837,3.55534806148941,3.09104245335832,2.07944154167984,3.04452243772342,3.17805383034795,3.36729582998647,2.83321334405622,3.13549421592915,3.43398720448515,2.07944154167984,2.484906649788,2.77258872223978,3.17805383034795,4.31748811353631,4.04305126783455,4.55387689160054,4.21950770517611,4.11087386417331,3.3322045101752,3.91202300542815,3.49650756146648,1.79175946922805,3.09104245335832,2.94443897916644,2.63905732961526,2.63905732961526,2.89037175789616,2.39789527279837,1.79175946922805,3.55534806148941,3.2188758248682,3.36729582998647,3.13549421592915,3.78418963391826,2.83321334405622,2.70805020110221,3.13549421592915,3.13549421592915,2.94443897916644,2.63905732961526,2.99573227355399,3.04452243772342,4.15888308335967,3.95124371858143,4.35670882668959,2.94443897916644
"HSPA1A",4.11087386417331,3.43398720448515,3.80666248977032,4.11087386417331,4.34380542185368,2.70805020110221,2.63905732961526,2.77258872223978,2.94443897916644,4.07753744390572,3.36729582998647,4.46590811865458,4.11087386417331,3.55534806148941,4.26267987704132,4.88280192258637,4.93447393313069,4.21950770517611,4.59511985013459,5.06259503302697,3.8286413964891,4.31748811353631,3.97029191355212,4.76217393479776,5.77144112313002,5.48479693349065,5.90263333340137,5.70044357339069,5.55295958492162,4.91265488573605,4.92725368515721,4.85981240436167,3.80666248977032,4.56434819146784,4.24849524204936,4.67282883446191,4.26267987704132,4.02535169073515,3.55534806148941,2.70805020110221,5.2040066870768,5.01063529409626,4.80402104473326,4.70048036579242,5.57594910314632,4.82028156560504,4.70048036579242,4.79579054559674,4.97673374242057,4.36944785246702,4.21950770517611,3.95124371858143,4.43081679884331,5.36597601502185,5.04985600724954,5.07517381523383,4.0943445622221
