"Gene","logFC","logCPM","F","PValue","FDR"
"MBP",1.66143234402484,14.2584793108214,135.228997342228,1.55363131310463e-20,3.52674308074751e-18
"FAM107A",1.14893277967584,11.937634349546,46.9866523641364,5.3936719471114e-10,6.12181765997144e-08
"MTURN",1.04488392151738,11.7027021139275,44.9754073866433,1.01403783785776e-09,7.67288630645704e-08
"APOE",-0.977302131334758,12.8649441821214,42.7305948052578,2.41218061042206e-09,1.36891249641452e-07
"GFAP",0.847627252429034,14.0104701187601,36.9027200685969,2.0583117314246e-08,9.34473526066769e-07
"CTSB",-1.04371451644021,12.3365129517842,36.0375528664394,2.70375189641896e-08,9.60792654718844e-07
"PLP1",1.22929069098715,11.8669100879124,35.4103596512211,2.96279673261317e-08,9.60792654718844e-07
"APOC1",-1.05889935207539,12.624952468532,31.5845665286171,1.59177288239333e-07,4.51665555379107e-06
"CRYAB",1.028706351486,13.694012569576,30.2386520145972,2.76354086596263e-07,6.97026418415018e-06
"VIM",-0.861137862520661,12.299783309387,29.7265784094044,3.39285535769907e-07,7.70178166197688e-06
"FCF1",0.874323627604714,13.2356717265631,27.3433064871781,8.90694017781105e-07,1.83806856396646e-05
"HLA-B",-0.782064127717013,12.1869948139847,25.6190031092756,1.81975088444199e-06,3.43768165609867e-05
"IGHG2",-1.9135849522359,13.1402124926344,25.4025073813563,1.96871636692875e-06,3.43768165609867e-05
"CD74",-0.760597957045246,12.2673245783609,23.343938519887,4.69888934118329e-06,7.61891343177576e-05
"CLU",-0.900412317558681,13.8249308093533,19.2497894366036,2.76692302961673e-05,0.000418727685148665
"IGHG1",-1.84279198513718,13.1606880136736,18.854591723146,3.28457222178313e-05,0.00044613560646298
"CTSD",-0.759191840206075,12.7317592179516,18.8201372778278,3.34110366073597e-05,0.00044613560646298
"C4orf46",0.772515879453979,11.7479709867431,18.2806832533277,4.1935841626522e-05,0.000528857558290027
"RPS3A",0.491189902115318,12.6173215660259,17.8475994574868,5.17148601598336e-05,0.000617856487172749
"C3",-0.657093095364277,11.6261749375488,17.0751505421449,7.19965873771538e-05,0.000817161266730696
"CTSZ",-0.740443431236555,11.9906256234758,16.7100548963761,8.32727256391718e-05,0.000900138510480572
"IGHG3",-1.43283771236907,13.209755431235,16.2004405707857,0.000108623263183526,0.00112079457921183
"GPNMB",-0.678898268550005,12.1177298382885,16.0039685643323,0.00011680669204266,0.00115283126494277
"IGHG4",-1.82866053680505,14.1926274017224,15.6471888446629,0.000139751908198437,0.00132182013171022
"HMGN2",0.640098564885836,11.943292204763,14.2145065115749,0.000271820759603541,0.00246813249720015
"B2M",-0.621144225358865,11.7413313849845,13.4826334039798,0.00037677421054053,0.00328952868433463
"OAZ1",-0.506722141333751,12.4303287772474,13.2768464852845,0.000420977938518902,0.00345135761811522
"RPL21",0.558083617776135,12.5914649640701,13.2361267163299,0.000430782608111335,0.00345135761811522
"CD81",-0.527412206152837,12.1971804242257,13.1794953355647,0.000440922338878156,0.00345135761811522
"RPL5",0.577903985799556,11.8181674848875,13.055550711184,0.000468765626423757,0.00354699323993976
"CST3",-0.562669504456021,12.1384262569231,12.9184767394762,0.000499550442290863,0.00365799840000083
"LYRM2",0.559746669709541,12.3151280905304,12.8442978656259,0.000517962807394806,0.0036742986649569
"PRMT8",0.54644291535134,12.5738945996908,12.242534740964,0.000690728500774125,0.00475137483865838
"SPARCL1",-0.619254646678023,11.9679231672601,12.0234689320191,0.000755160398401251,0.005041806189326
"ITM2C",-0.673702179379266,12.0933420599778,11.9682669266271,0.000780234945923658,0.00506038093499058
"NRGN",-0.750925552097394,11.9276313839629,10.8515409670025,0.00130915697338223,0.00825496202660464
"SIRT6",-0.60647803518794,11.8896415594897,10.7805050957575,0.0013929254831456,0.00854578607227167
"CNP",0.618927257717802,11.6251036690054,10.5046121025662,0.00159513619848857,0.00952883992255011
"HLA-E",-0.516318456033669,12.0205115944142,10.2570696270484,0.00180960371553958,0.0105272317769689
"EFHD1",0.698289649366549,11.3803723791946,10.1999049181709,0.00185501881532492,0.0105272317769689
"HNRNPA1",0.464953044577877,12.1094120128673,10.0057316979559,0.0020498084237419,0.0113489393216929
"APLP1",0.687516592444715,11.8812019188208,9.66510001292995,0.00240965487665328,0.0130236108809594
"DBNDD2",0.571366232882076,11.3751475212604,9.10185301093619,0.00316600271519162,0.0167135492174069
"HLA-DRB1",-0.487940420631089,11.8716263310275,8.66033460861289,0.00400452978994091,0.0206597332344679
"NDRG2",0.49191201120348,11.7569818928078,8.52225397415831,0.004298969526709,0.0216859129458432
"C1QB",-0.500240146968657,12.1024261880678,8.42514566344146,0.00450483367435193,0.0222303748712584
"TMEM30A",-0.453284343750925,13.149003076164,8.04245258637064,0.00549807730031099,0.0265545435568212
"IDS",-0.576391607614754,11.6472800563786,7.76085992250587,0.00627848087136444,0.029691982454161
"C1QC",-0.482351590313399,11.9790430399225,7.1097207029512,0.00885081565430343,0.0410027582352424
"TMSB4X",-0.396358168899622,12.9515157439554,7.0285985098024,0.00927577122889377,0.0421120013791777
